topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,doc_id
0.025518997,0.020998664,0.012549293,0.015280442,0.019245062,0.022646256,0.014424608,0.013293345,0.011666151,0.039069075,0.78783655,0.017471459,41
0.14588693,0.01643329,0.08476867,0.10476532,0.15154275,0.021975452,0.18940233,0.02690804,0.03641337,0.04605312,0.15348883,0.022362014,42
0.04367325,0.11705075,0.027693022,0.019916458,0.3413832,0.031549815,0.06422987,0.031314753,0.08230529,0.03695936,0.1461859,0.057738293,43
0.078928195,0.012857742,0.03566093,0.18777484,0.11332401,0.01883293,0.022802312,0.076497756,0.022437608,0.0821396,0.3376333,0.011110774,44
0.10283659,0.027115723,0.01835137,0.0152216805,0.06830891,0.24637176,0.050993655,0.033342004,0.023026092,0.017706145,0.38574618,0.010979827,45
0.040782712,0.027347768,0.01950323,0.037733287,0.04665536,0.016906627,0.07995091,0.014235061,0.025730763,0.022922924,0.65549105,0.012740303,46
0.011058098,0.009307716,0.005823405,0.016834918,0.72665316,0.005512674,0.066946074,0.0051211044,0.010245709,0.075137794,0.06258935,0.004770012,47
0.3963942,0.0029951318,0.002167027,0.0029616868,0.0016213016,0.0015723739,0.025331099,0.0010265021,0.004397713,0.00384521,0.07629415,0.4813936,48
0.0011386009,0.00095708505,0.0027747133,0.0007223444,0.00077387976,0.0022329923,0.0013230367,0.00087716494,0.9831989,0.0010305446,0.0021316777,0.0028390563,49
0.110100605,0.006328672,0.729879,0.007217694,0.0061214836,0.026012475,0.0130881835,0.0054127723,0.03511394,0.031011928,0.013242987,0.016470214,50
0.015225913,0.01054325,0.0061500235,0.0336633,0.6416355,0.005607794,0.09124856,0.0053461054,0.00749003,0.029406596,0.14831126,0.005371701,51
0.0132124275,0.03901083,0.010086513,0.014214978,0.014647553,0.009623615,0.079258874,0.0065709543,0.03425457,0.011128367,0.75038016,0.017611159,52
0.007061775,0.003431433,0.012596478,0.0035143169,0.0021469654,0.011676516,0.026518857,0.0019137436,0.049536556,0.0043133567,0.85015136,0.027138583,53
0.045673944,0.04629267,0.017785082,0.007219089,0.013679335,0.010486554,0.05839138,0.03134107,0.014907216,0.019771146,0.039701313,0.69475114,54
0.020604465,0.04384425,0.59106594,0.018348854,0.010742271,0.044986457,0.03291848,0.010357111,0.06955293,0.008158051,0.008726572,0.14069459,55
0.059500713,0.13820037,0.04808627,0.04131373,0.36203316,0.0430185,0.05535672,0.045332428,0.054128923,0.062321894,0.041685816,0.049021494,56
0.014242779,0.034753565,0.006563162,0.009529075,0.0069922647,0.008151544,0.08101068,0.0124166375,0.024350183,0.00783282,0.78450817,0.0096490905,57
0.0064246994,0.005521998,0.12556751,0.004924761,0.0031519448,0.007572483,0.030274559,0.008273487,0.78800815,0.0077682226,0.0074885883,0.0050235903,58
0.05347382,0.09971555,0.039880794,0.03798369,0.37888613,0.03838457,0.13090298,0.050137866,0.045213114,0.04426701,0.037821803,0.04333267,59
0.014668383,0.0153376805,0.009446242,0.030714074,0.012022315,0.013787821,0.76195383,0.011754926,0.014071976,0.012482646,0.09392085,0.00983928,60
0.010333629,0.014409529,0.008511552,0.0076351734,0.006732708,0.012552866,0.68292546,0.009963198,0.008867677,0.008013379,0.011194389,0.21886048,61
0.04124712,0.021297596,0.015891755,0.013205286,0.028852724,0.0208487,0.019157227,0.011794531,0.015925769,0.016299993,0.77952445,0.015954887,62
0.016445782,0.026868159,0.010253391,0.015797129,0.020968376,0.015290741,0.5176296,0.009752798,0.024807155,0.013479496,0.29999796,0.028709477,63
0.512775,0.019229764,0.0053589344,0.018304255,0.014389541,0.006397181,0.061976753,0.006887187,0.009208473,0.02256146,0.040935677,0.28197575,64
0.01881455,0.023697283,0.010318479,0.013372961,0.03961166,0.013851027,0.26914114,0.013783838,0.013338098,0.013164836,0.5540756,0.016830532,65
0.054420415,0.11628915,0.08376869,0.064422496,0.3394141,0.038225092,0.04944785,0.06879297,0.048419002,0.059706543,0.0403265,0.036767174,66
0.011582495,0.025056249,0.010717039,0.80830115,0.065524906,0.00858654,0.011093362,0.011702834,0.016382081,0.013394688,0.008600756,0.009057999,67
0.0371345,0.051846948,0.032435205,0.3094678,0.34223458,0.026346168,0.033103436,0.04134403,0.036914293,0.034245707,0.029975828,0.024951478,68
0.11304948,0.051238563,0.04362485,0.03103543,0.38571653,0.025911715,0.059731588,0.048353247,0.102681,0.05825497,0.0352326,0.045169946,69
0.027927041,0.021819478,0.032321192,0.02414674,0.08222661,0.013019313,0.026146686,0.08335169,0.025235819,0.63477564,0.014371054,0.014658806,70
0.025767395,0.019067775,0.034485586,0.0776687,0.0993689,0.015384048,0.024120864,0.18420061,0.02191371,0.46962458,0.012811977,0.015585747,71
0.016855609,0.023350773,0.043581378,0.0136951655,0.02378979,0.027772695,0.26905304,0.011267647,0.04430764,0.012972045,0.4740441,0.039310075,72
0.1850603,0.14046928,0.04484819,0.02537667,0.28791702,0.025123648,0.0375977,0.035792403,0.07197939,0.08933899,0.026622785,0.029873593,73
0.09583705,0.06850008,0.024056792,0.034576565,0.18630703,0.08235507,0.11761417,0.041155785,0.015972015,0.048274435,0.20608631,0.07926469,74
0.035325937,0.070940115,0.026015392,0.0448725,0.33329898,0.039373834,0.027765865,0.034730118,0.033436667,0.041418508,0.030890323,0.28193182,75
0.39981696,0.09287682,0.022442466,0.029051097,0.25650403,0.019158367,0.03718025,0.022452148,0.033124033,0.042937662,0.023988506,0.020467658,76
0.62346923,0.014871566,0.010100029,0.10268872,0.11696946,0.009419136,0.037557438,0.009620996,0.010872511,0.016936228,0.017275607,0.030219102,77
0.62388074,0.011482033,0.044620797,0.044206448,0.013047356,0.01225755,0.011168856,0.011321338,0.078678265,0.12872933,0.008772363,0.011834791,78
0.2984692,0.0064906813,0.18341689,0.017340362,0.017821858,0.013717852,0.013835453,0.005753635,0.33895564,0.046194915,0.022045963,0.035957623,79
0.1981755,0.04546484,0.044308886,0.06686276,0.3945012,0.029058903,0.032314774,0.042884782,0.03817535,0.053940643,0.028655196,0.02565714,80
0.048385926,0.0162255,0.294581,0.08963588,0.123813,0.022140568,0.030700512,0.032231055,0.020775523,0.04181417,0.25321952,0.026477326,81
0.049113058,0.021026269,0.07624029,0.5316873,0.06613407,0.023757165,0.025579458,0.03829548,0.058966685,0.045408722,0.052288998,0.011502503,82
0.23167233,0.20259397,0.03624303,0.02609171,0.14692621,0.023306563,0.056195248,0.043260608,0.15438847,0.03312392,0.02488506,0.021312801,83
0.17026523,0.005956687,0.25266984,0.0064865756,0.004554826,0.012925067,0.0076354695,0.0051132785,0.48505798,0.032518957,0.0057931026,0.011022809,84
0.2086585,0.014150786,0.36030385,0.01257676,0.022106508,0.020487735,0.010925734,0.015063725,0.2880002,0.02201451,0.013189971,0.0125216795,85
0.0020232585,0.0014369148,0.01145069,0.0022655576,0.0010953787,0.0022136238,0.0015364182,0.0030832626,0.9673743,0.0024855067,0.0015754038,0.0034596364,86
0.024680706,0.0047036754,0.04165475,0.0046465714,0.0031307908,0.008638282,0.0034148167,0.0043964707,0.8818847,0.014258676,0.00418123,0.0044094315,87
0.03171905,0.02839241,0.01881299,0.12627901,0.16475372,0.013144435,0.028756415,0.023725817,0.5108794,0.025529683,0.013168589,0.014838533,88
0.052895006,0.086055264,0.03751001,0.037153363,0.40723544,0.027399993,0.103374854,0.033180922,0.11176923,0.04611935,0.029353444,0.027953135,89
0.06457668,0.08258385,0.032547783,0.06455463,0.30270088,0.026474638,0.03729097,0.029684393,0.2301488,0.0837625,0.024018502,0.021656375,90
0.0033297073,0.003697661,0.0035584865,0.23151246,0.023964712,0.0026232922,0.0034289935,0.0027804847,0.7141027,0.0057167583,0.0028254222,0.0024593775,91
0.025636451,0.13307357,0.022751587,0.022855531,0.4670158,0.026120495,0.03276174,0.027849745,0.03921999,0.14579013,0.023840198,0.033084817,92
0.07428511,0.19225608,0.057269175,0.03949136,0.25020814,0.03315708,0.10571728,0.095192656,0.03623405,0.05192725,0.0339287,0.030333148,93
0.14135684,0.18308584,0.047342714,0.049889967,0.18079638,0.03143766,0.093991734,0.05241732,0.040682513,0.11327328,0.031930428,0.033795148,94
0.012074884,0.051704798,0.013078939,0.02581001,0.014381547,0.018193446,0.6071229,0.012690747,0.011086903,0.018447442,0.19554076,0.019867748,95
0.021124111,0.012747527,0.03354184,0.027622506,0.007920028,0.014101835,0.6274719,0.04780783,0.013909674,0.010111767,0.139392,0.044248965,96
0.004445075,0.004128117,0.001854601,0.002376419,0.0018182149,0.0024019196,0.025119558,0.0015646443,0.0030697568,0.0016943113,0.0040112403,0.9475162,97
0.009077908,0.0030205844,0.0019054482,0.0016125493,0.0017337215,0.0031985582,0.020579029,0.0013298984,0.0025544523,0.0021902726,0.003512976,0.94928455,98
0.012853791,0.017790746,0.011956125,0.3319165,0.45888388,0.011382802,0.07157277,0.017800169,0.012782704,0.029060861,0.012471496,0.011528208,99
0.011511054,0.017744103,0.01033971,0.34850615,0.4576733,0.0110174,0.0624575,0.016279962,0.012901347,0.028247653,0.012520123,0.010801688,100
0.0056474684,0.0048358943,0.019254588,0.026621884,0.010910907,0.006177485,0.49536455,0.33776274,0.00839228,0.013318693,0.0038480898,0.06786544,101
0.0039268667,0.004479606,0.002752754,0.029779319,0.0033661413,0.002146935,0.93711406,0.0023486617,0.0035671499,0.0058791917,0.002210345,0.0024289028,102
0.0032668784,0.07233537,0.0023787555,0.044603094,0.0032444233,0.0022275487,0.8569014,0.0023513953,0.002717931,0.004897393,0.0028014453,0.0022745242,103
0.28201616,0.04001339,0.002157917,0.26484966,0.004196961,0.0019739785,0.381681,0.0024273163,0.0023183713,0.013767804,0.0025294363,0.0020679862,104
0.06601295,0.09917461,0.041171636,0.04447174,0.33674726,0.044074778,0.107791305,0.07424968,0.045544293,0.04672973,0.05346447,0.040567547,105
